id	text_a	text_b	label
7b518b6f-78c9-4085-aa3e-91ca877a9bd4	Bernard, who aint tell the government official he was under 21 when he filed for a homestead claim, aint think he did nothin dishonest. Still, anybody who knew he was 19 could take his claim away from him.	anybody	1
1abca2d0-b03e-41fc-bf46-2f3c6ee8540d	Bernard, who aint tell the government official he was under 21 when he filed for a homestead claim, aint think he did nothin dishonest. Still, anybody who knew he was 19 could take his claim away from him.	him	0
e4a90c85-a705-4b9b-88f1-1d5ab20361c1	Mr. Moncrieff went to Chesters fancy New York apartment, thinkin it was his son Edwards. Turns out, Mr. Moncrieff done decided to cut off Edwards allowance, sayin he dont need his money no more.	Mr. Moncrieff	0
da9b851c-1447-41ec-8460-5518a03ecdfa	Mr. Moncrieff went to Chesters fancy New York apartment, thinkin it was his son Edwards. Turns out, Mr. Moncrieff done decided to cut off Edwards allowance, sayin he dont need his money no more.	his	1
2396da4b-765f-4a8a-916f-da55724522fc	I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.	lemon trees	1
88cfe1d0-8dad-4052-b00a-0ca32b384b99	I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.	dey	0
797c3ea8-86df-4414-a167-b9b23070b64f	Da big ball smashed right through da table cuz it was made of styrofoam.	Da table	0
a7dda434-adfa-4af5-81d0-d0e848a82755	Da big ball smashed right through da table cuz it was made of styrofoam.	it	1
00e86b71-8157-4b3d-80b3-2cf0fd355c38	While Nancy and Ellen was countin the silverware, Mrs. Smith hurried upstairs. In a few minutes she came back and one look at her upset face told the girls that the precious map was gone.	Ellen	1
00707ee6-4f9f-41f2-a233-717fb46c625a	While Nancy and Ellen was countin the silverware, Mrs. Smith hurried upstairs. In a few minutes she came back and one look at her upset face told the girls that the precious map was gone.	her	0
9a04bd3c-d0f7-4cf4-94a9-25f32948446b	Da customer walked into da bank and stabbed one of da tellers. He got took straight to da hospital.	Da customer	1
62aeceaf-83a4-428c-9321-7c86a5c75b1e	Da customer walked into da bank and stabbed one of da tellers. He got took straight to da hospital.	He	0
