id	text_a	text_b	label
f778ab0f-a99c-4a8d-8ba0-20160fed82b9	Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him .	anyone	1
bf8c8459-b578-498c-a15d-d107f5bea93a	Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him .	him	0
c4337a58-a0e0-4791-8c0b-1b8ffa4ee270	Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.	Mr. Moncrieff	0
8b885e69-a11d-4889-977a-5a41841752b9	Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.	his	1
ae9c6957-5e91-45a4-9ea0-fdd7450f4f0d	I tried to paint a picture of an orchard, with lemons in the lemon trees , but they came out looking more like light bulbs.	lemon trees	1
6b4001b6-ea0b-4145-81d4-287bcab954b1	I tried to paint a picture of an orchard, with lemons in the lemon trees , but they came out looking more like light bulbs.	they	0
95e8539a-4c82-4a12-8c4c-650a121abe1e	The large ball crashed right through the table because it was made of styrofoam.	The table	0
b9cc1ea9-f333-4518-a954-d221383df0a9	The large ball crashed right through the table because it was made of styrofoam.	it	1
4c3cc734-ded0-4f71-8b61-731ae5e24be5	While Nancy and Ellen counted the silverware, Mrs. Smith hastened upstairs. In a few minutes she returned and one look at her stricken face told the girls that the precious map was gone.	Ellen	1
c88da04e-e91a-41c1-b9d3-875c3daae7ed	While Nancy and Ellen counted the silverware, Mrs. Smith hastened upstairs. In a few minutes she returned and one look at her stricken face told the girls that the precious map was gone.	her	0
180beb33-afef-487f-b32d-bcdcedfeaf6b	The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.	The customer	1
e64a8715-1103-422d-9324-633d5c63f698	The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.	He	0
b76e53dd-fae7-4288-a1fd-0d89e0238a24	Jane gave Joan candy because she was hungry.	Jane	1
a0717e69-ca86-47b5-b9c0-91a13bd80d19	Jane gave Joan candy because she was hungry.	she	0
49d735ce-301d-40ba-9547-2c0db21cb7f2	I tried to paint a picture of an orchard, with lemons in the lemon trees , but they came out looking more like light bulbs.	lemons	0
7f9514d5-f04c-4b17-9e17-a97aba0f5098	I tried to paint a picture of an orchard, with lemons in the lemon trees , but they came out looking more like light bulbs.	they	1
6d8c91bc-826e-47bb-be82-aa56ec96d61d	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	Mama	1
