id	sentence	label
314ac91b-b8f7-4332-8fe0-2424b561e29c	My body threw a shadow on the grass.	1
37c1683f-818e-42b0-a976-7961462acd38	My body cast a shadow over the grass.	0
63cc32fc-9453-4115-bdc6-e1d052bc4951	The woman put up with her friend's difficult behavior.	1
c6eb9467-1f60-4048-978b-26f93356657f	The woman tolerated her friend's difficult behavior.	0
6f546fd3-2dc5-4702-b0ef-09881af49a66	Dem women met up for coffee.	1
89201b0f-eaf8-4961-b9c3-914f214ad4d9	The women met for coffee.	0
73168839-5234-434c-acbe-bb05b4254ac3	The runner had on shorts.	1
d481fadd-8023-4249-9db5-04613d674808	The runner wore shorts.	0
a9be4ffa-e9e1-449c-9975-99e179d5938f	The folks at the party was hidin' behind the couch.	1
88cc10fd-4bc2-45a1-a405-975409f791c4	The guests of the party hid behind the couch.	0
3e6ea355-508d-4c6c-9e92-2193a1c837ba	The politician lost the election.	1
c423e8d7-86d2-4633-85e2-c334b1370280	The politician lost the election.	0
f725fc4a-814e-4293-be1e-abb34b0085bd	The stain got out the shirt.	1
a777113b-b262-4a09-b266-cb030fb805ad	The stain came out of the shirt.	0
059a245a-18d4-4c17-83eb-720234ccfef8	The man got a discount on his groceries.	1
58b915dd-fcc7-4955-8942-99f93f8c1570	The man got a discount on his groceries.	0
01cd118f-e68f-4e5f-9783-9631b4d41621	The doctor done misdiagnosed the patient.	1
9ca3b763-9fb9-4bc1-b452-3616493065c3	The physician misdiagnosed the patient.	0
414700bd-899d-4c28-b3e2-817fe6a8d2a8	The customer filed a complaint with the store manager.	1
477843b1-8756-495f-9a21-b02cc02b4407	The customer filed a complaint with the store manager.	0
0e6f3042-0da6-42d9-9cb9-93351e98b963	The woman fixed her faucet.	1
6901b082-7bab-4b79-a842-71fa81124d21	The woman repaired her faucet.	0
acb8ef08-d73e-4d50-8bba-5cd36fbf78c8	Da old lady had a stroke.	1
0e1c42e9-2feb-4ee4-8d84-af3a4ebc11d6	The elderly woman suffered a stroke.	0
2871c0ba-a745-418f-97cf-3609e3ab89f0	The pond froze over for the winter.	1
1585b28d-c583-4387-883d-2d290ffbabc6	The pond froze over for the winter.	0
b5772efc-4ff9-4fc9-8b9a-b8e1f6a2fddd	The offender broke parole.	1
bcb9f318-f1f7-4e57-8e50-54af816a5d15	The offender violated parole.	0
cf9c7186-c7ee-4ceb-8852-650c5e0505fe	I poured water on my sleeping friend.	1
3f62598c-75a0-472d-9e39-4448df245754	I poured water on my sleeping friend.	0
adcc22ca-6793-4ac4-bb5e-1fce58dd6ff8	Dat shirt shrunk.	1
cf5f21f5-ae24-4d87-b21d-139a5457842e	The shirt shrunk.	0
3cd0f2c9-4d87-4405-a8e4-857abf98df9c	It got dark outside.	1
