id	sentence	label
ec839ef9-db75-4869-992c-9a72ea3081de	My body threw a shadow on the grass.	1
37c3e23c-504a-4cf3-b11b-7f84473fdaf0	My body cast a shadow over the grass.	0
5987deb2-e96a-4f9a-924d-5d2331265bd5	The woman put up with her friend's difficult behavior.	1
8e59210e-eeae-44c3-aee3-4d5cd55c282a	The woman tolerated her friend's difficult behavior.	0
6808eb33-67a0-490d-9e32-fd28b0ccdfd6	Dem women met up for coffee.	1
1c17203a-0fd5-4fad-98fd-231cbdd26d74	The women met for coffee.	0
1a8caf57-8b8c-49be-bca1-23ceb0d455d4	The runner had on shorts.	1
5758ba19-f3c2-4fe4-83bb-069191683ca2	The runner wore shorts.	0
80a7e2cd-3ed1-431b-bddc-d82f1b3809f2	The folks at the party was hidin' behind the couch.	1
d650831e-d3dc-48cb-9581-62cd78268c4b	The guests of the party hid behind the couch.	0
6932ab45-5dd2-4bfe-9fb4-61975eaaeedc	The politician lost the election.	1
2e21ebe5-778e-4f28-912f-ff133bb60bb9	The politician lost the election.	0
5ec5d9c2-4f1e-41a5-970e-b7dc801a8554	The stain got out the shirt.	1
5614725c-4c9c-4616-85ea-04b64cd4d8e3	The stain came out of the shirt.	0
92c027ea-c840-4f66-b5dc-a5cba234cd39	The man got a discount on his groceries.	1
1681b395-2d37-48ec-be59-6f8da79ad8f7	The man got a discount on his groceries.	0
1969d1c4-5230-42f1-b585-9049da7c6133	The doctor done misdiagnosed the patient.	1
5b3e1122-0cce-49a1-8a24-4130a61d3960	The physician misdiagnosed the patient.	0
8adbd6bb-d497-4f5e-8aae-242245ea72bc	The customer filed a complaint with the store manager.	1
2561e2f2-a2d1-4353-a863-4855eb2fca7a	The customer filed a complaint with the store manager.	0
8b9a5fe9-0651-4619-9915-37240ff81864	The woman fixed her faucet.	1
d9844612-ea29-485a-b77e-97fc1b781eb8	The woman repaired her faucet.	0
146f3f4e-0536-4e2e-b42a-55ea46b7ae30	Da old lady had a stroke.	1
a7f83d32-7418-420d-9c5e-33b247c32ed7	The elderly woman suffered a stroke.	0
6fb1a405-a74c-4299-bf66-ba1f4e2a210b	The pond froze over for the winter.	1
0f2dfa5d-dbbb-44f1-aa4d-aed918487939	The pond froze over for the winter.	0
fed685fd-80fc-47c6-967b-71e099ad971a	The offender broke parole.	1
aa4538bd-134c-4ec6-91c7-290e0674dec4	The offender violated parole.	0
9bf03ab3-b690-4d73-b83e-920b2082484c	I poured water on my sleeping friend.	1
d921a007-8b48-47d8-8538-be3a40f48aa2	I poured water on my sleeping friend.	0
fe9311ec-35bd-4255-a413-6da02f6c719d	The girl caught her breath.	1
d9be7dc1-b3b8-48ee-ac64-cc347d265e8f	The girl gasped.	0
80704a36-23bc-4cf8-8927-9b73bac50ea8	Dat shirt shrunk.	1
faef73d9-9bf8-4546-a39d-0076ebb5ff74	The shirt shrunk.	0
68f78e7f-ef11-4be2-9394-26e728db677d	It got dark outside.	1
0ff789d0-3136-44cc-bb5d-56e621e15a27	It got dark outside.	0
9db0a025-43a8-4f01-86a5-db3c3f1fe3d7	I hung up da phone.	1
db2be0ab-b328-4224-a3af-bcf6a1d95f5d	I hung up the phone.	0
641f464b-97d3-4860-99c0-e82c1560062b	Dat woman's ring slipped off in da shower.	1
6d8b30a6-0c9c-4d34-a63e-98fe3d0e8305	The woman's ring slipped off in the shower.	0
73eb0a78-922f-4d27-ab1c-235b260525db	The girl got a trophy.	1
c72f22b5-9246-4fd2-ab05-43b2634203ee	The girl received a trophy.	0
ba33f483-e345-474a-94dc-b1ca7047af41	Da woman's date wanted to look like a gentleman.	1
9e935e31-9a63-4b6c-bd76-f26e2eeb6331	The woman's date wanted to look like a gentleman.	0
2c5075a2-2933-4f5f-8b5c-7782531eaba4	De farmland needed waterin'.	1
074183c3-b1ca-4649-b6b9-976d575ccee5	The farmland needed irrigation.	0
34962722-7761-4b5c-8f0b-1bde94b316ea	The host called off the party.	1
cb0e88c5-bf14-40bf-8bfe-9dd00479b0c1	The host cancelled the party.	0
c3bcdf3d-7421-480d-b3b1-d17ea4b159d6	The woman gave the man her digits.	1
2db11486-5496-4841-9871-8f30a5d76766	The woman gave the man her phone number.	0
fa494393-4e26-4e05-98de-95ade8d2cc59	The skydiver floated down to the ground safe.	1
d40a602e-fb54-4bbd-9907-05dfbcd356b4	The skydiver glided safely to the ground.	0
c4fa918d-308a-4925-ae7a-f2a6ff604a93	Dat lil kid got cranky.	1
9fa7a431-eb1b-4de6-abb3-a0eca2d2d64d	The toddler became cranky.	0
b2560fdb-9c56-4d4b-bee6-9afec4e50f73	The kid got immune to the disease.	1
1652aaac-cb03-4c68-8e81-5fc98e5b492b	The child became immune to the disease.	0
760e2e8f-1707-46a6-b86d-cbdddd62a5ae	Da grape juice fermented.	1
c1e098e7-56b2-4327-a1a0-8e075916e41f	The grape juice fermented.	0
be36adaf-bd12-425e-9f42-ea6276ae1e15	Dem friends' debate kept goin' on forever.	1
e1e9d927-6fbd-403f-b7d5-12f08f6f0520	The friends' debate dragged on interminably.	0
30283924-107c-4227-92b0-b4585034a9f8	The woman was hummin' to herself.	1
9e1d4a6b-392b-4e90-9480-17e261b34248	The woman hummed to herself.	0
7eaef3ed-1a2e-4ca0-af6a-ad0eed10b13b	Da man hated his new haircut.	1
b294d4be-c230-4523-a531-ea77b1c15ee7	The man hated his new haircut.	0
e1f970d3-363d-4c96-a338-0dda554df190	Da police aimed they weapons at da fugitive.	1
e6c84c44-a69f-412d-9ba6-f57b1c524e50	The police aimed their weapons at the fugitive.	0
b2744f1d-bb46-48b9-b808-00e16e62e3fd	The patient was dehydrated.	1
0de58478-3fa2-4dfa-819f-c6af598c5e48	The patient was dehydrated.	0
b90a56a3-962e-498a-a58a-779e2abd6ce7	The girl found the missing puzzle piece.	1
6bab39ac-0f65-45b6-8642-328262b3c59c	The girl found the missing puzzle piece.	0
63368d75-5d9b-41c5-92b4-54595c3cdf78	Da man quick jumped outta bed.	1
afce908c-2fc1-4ab0-b285-2eabe643a03e	The man urgently leaped out of bed.	0
6515a3b5-138f-4eba-bfe0-79d078fe8587	Dem papers was all over the place.	1
468fabd0-301c-4176-915b-dc68c310d20c	The papers were disorganized.	0
ce23aa40-6aeb-469a-b475-3d1a94c99f9b	Dat woman won da lottery.	1
44d72679-c45f-4f09-ba24-6f914852834d	The woman won the lottery.	0
3e02259f-4ae6-4d39-8a2e-09334ed7203b	The seamstress pushed the threaded needle into the fabric.	1
7cdefd5a-c728-4a27-a96b-3d9c5538cd88	The seamstress pushed the threaded needle into the fabric.	0
9f37e4d3-7c2d-41de-9531-a6e756c3f0b6	The woman got herself a lawyer.	1
b31a8adc-aec7-4067-b6e6-20eeaf026a08	The woman hired a lawyer.	0
55aea403-4e05-45c8-a323-407303d78f18	The tenant done lost his keys to his apartment.	1
2f0391c7-5e37-4076-95b3-38e8ae487b2c	The tenant misplaced his keys to his apartment.	0
60ae4a06-b31b-4902-990a-91006ff711e5	My favorite song just came on the radio.	1
80a03438-ebaf-4088-9122-66b05dd28ac5	My favorite song came on the radio.	0
d5a0a6b9-a71a-435a-8289-18836dd72cfd	The boss decided not to hire the applicant.	1
35dc6929-96b6-41d3-8ff4-79fe004976ca	The executive decided not to hire the applicant.	0
ae0147ab-ad67-41e8-8fb7-2eca983cc6c2	Da man's eye got infected.	1
b2414921-785f-4413-af3c-7a6eaea00655	The man's eye became infected.	0
1f21d4b6-c0cd-48dd-b652-e764a893fa09	Da bird couldn't fly.	1
a050120f-9174-454c-8816-d16fb788dcc4	The bird couldn't fly.	0
19537e7b-c91b-4b91-b45a-cc0e99037917	The girl made a wish.	1
e568814d-4b78-44fe-99d0-2358a2b4d345	The girl made a wish.	0
d5cb4a21-3411-4045-8326-7dae79559c02	The woman shivered as she got out the pool.	1
5c3267c7-50f5-4ee3-b64c-c580ea3ab088	The woman shivered as she got out the pool.	0
096c8116-7ced-47df-a95e-1a87c0e0d34f	The nurse got the needle ready for the patient's shot.	1
fa6c19a4-45e1-477d-b2e8-ad986ee4269e	The nurse prepared the needle for the patient's injection.	0
5ed537a6-7be4-44e4-926c-21fea1ebffa6	The man threw out the bread.	1
a516f43c-e7d7-4f6d-bfc6-a703551e5b2c	The man threw out the bread.	0
a4e94728-c93e-4d9d-983e-7c20e5ce39de	Them kids knocked over a lamp.	1
3d0074ae-e313-4212-8c74-99da4fa406d7	The children knocked over a lamp.	0
142310be-c061-48cb-86ce-fe9a96bb949a	I drank from the water fountain.	1
7f039999-0123-4dc6-8cd4-cad3e49693bc	I drank from the water fountain.	0
f6d7ec36-fc42-43fc-9e21-6dbb956fedca	Dem homeowners ain't like they nosy neighbors.	1
